Country,EducationLevel,YearsOfExperience,Salary
Austria,Upper than Master's degree,6.0,30074.0
Turkey,Master's degree,6.0,91295.0
France,Master's degree,17.0,53703.0
United States of America,Less than Bachelor's degree,7.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,18.0,161044.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,25.0,121018.0
Bulgaria,Less than Bachelor's degree,20.0,44586.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,27.0,184712.0
Greece,Master's degree,16.0,79481.0
Brazil,Master's degree,17.0,170000.0
Germany,Master's degree,1.0,29000.0
Italy,Less than Bachelor's degree,4.0,66592.0
Germany,Master's degree,30.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,15.0,124840.0
Ukraine,Bachelor's degree,4.0,50000.0
United States of America,Bachelor's degree,23.0,85000.0
United States of America,Less than Bachelor's degree,18.0,160000.0
United States of America,Bachelor's degree,23.0,110000.0
United States of America,Master's degree,18.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,17.0,161783.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,10.0,146496.0
Russian Federation,Less than Bachelor's degree,1.0,12773.0
Germany,Master's degree,10.0,69814.0
United States of America,Less than Bachelor's degree,10.0,115000.0
South Africa,Less than Bachelor's degree,9.0,64570.0
France,Bachelor's degree,7.0,101896.0
Czech Republic,Master's degree,11.0,52122.0
France,Master's degree,8.0,54777.0
Germany,Master's degree,15.0,27926.0
Italy,Less than Bachelor's degree,27.0,107406.0
Brazil,Less than Bachelor's degree,12.0,37297.0
Germany,Master's degree,11.0,85925.0
United States of America,Bachelor's degree,26.0,140000.0
United States of America,Less than Bachelor's degree,4.0,93000.0
Russian Federation,Master's degree,14.0,67227.0
Germany,Bachelor's degree,10.0,144998.0
France,Less than Bachelor's degree,16.0,59073.0
Canada,Bachelor's degree,17.0,119943.0
United States of America,Upper than Master's degree,9.0,100000.0
Other,Bachelor's degree,7.0,14142.0
United States of America,Bachelor's degree,22.0,102000.0
Turkey,Bachelor's degree,15.0,123654.0
Germany,Less than Bachelor's degree,20.0,42962.0
United States of America,Bachelor's degree,11.0,170000.0
Austria,Less than Bachelor's degree,5.0,42962.0
United States of America,Bachelor's degree,1.0,136000.0
Italy,Master's degree,28.0,48333.0
France,Less than Bachelor's degree,25.0,53703.0
Other,Upper than Master's degree,13.0,79218.0
United States of America,Bachelor's degree,20.0,175000.0
Germany,Master's degree,16.0,85925.0
Other,Bachelor's degree,10.0,31200.0
Germany,Less than Bachelor's degree,11.0,55851.0
United States of America,Less than Bachelor's degree,25.0,130000.0
France,Master's degree,10.0,90221.0
United States of America,Master's degree,13.0,150000.0
India,Master's degree,4.0,13160.0
United States of America,Less than Bachelor's degree,9.0,160000.0
Other,Master's degree,7.0,118147.0
Other,Bachelor's degree,17.0,50340.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,3.0,49681.0
United States of America,Bachelor's degree,9.0,100000.0
Other,Bachelor's degree,10.0,16532.0
United States of America,Less than Bachelor's degree,15.0,100000.0
Brazil,Bachelor's degree,11.0,10630.0
United States of America,Master's degree,20.0,180000.0
Germany,Bachelor's degree,26.0,42962.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,10.0,75159.0
United States of America,Bachelor's degree,25.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,9.0,104458.0
Ukraine,Master's degree,5.0,65000.0
United States of America,Upper than Master's degree,15.0,100000.0
Ireland,Master's degree,7.0,47259.0
United States of America,Bachelor's degree,31.0,150000.0
United States of America,Bachelor's degree,11.0,150000.0
Germany,Bachelor's degree,12.0,96666.0
United States of America,Less than Bachelor's degree,10.0,150000.0
Italy,Less than Bachelor's degree,25.0,29000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,10.0,67516.0
United States of America,Bachelor's degree,20.0,185000.0
Switzerland,Bachelor's degree,7.0,88019.0
United States of America,Less than Bachelor's degree,24.0,55000.0
Spain,Master's degree,10.0,85925.0
Spain,Master's degree,11.0,91295.0
France,Master's degree,12.0,67666.0
Italy,Master's degree,11.0,178343.0
France,Master's degree,6.0,63370.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,14.0,85350.0
United States of America,Bachelor's degree,3.0,120000.0
Germany,Master's degree,20.0,97740.0
Other,Less than Bachelor's degree,11.0,93980.0
Other,Master's degree,9.0,100000.0
Switzerland,Less than Bachelor's degree,6.0,128129.0
France,Upper than Master's degree,12.0,44037.0
United States of America,Master's degree,1.0,101000.0
Ireland,Less than Bachelor's degree,30.0,161109.0
Germany,Upper than Master's degree,14.0,89147.0
Other,Master's degree,10.0,90221.0
Italy,Bachelor's degree,10.0,86999.0
United States of America,Bachelor's degree,17.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,0.0,31847.0
Italy,Less than Bachelor's degree,30.0,37592.0
Netherlands,Master's degree,30.0,53703.0
Netherlands,Master's degree,11.0,150369.0
Germany,Less than Bachelor's degree,1.0,10955.0
Other,Less than Bachelor's degree,6.0,53703.0
Romania,Less than Bachelor's degree,17.0,161109.0
Spain,Bachelor's degree,24.0,32222.0
India,Master's degree,11.0,47854.0
United States of America,Bachelor's degree,5.0,118000.0
United States of America,Bachelor's degree,20.0,150000.0
United States of America,Master's degree,2.0,87250.0
Germany,Bachelor's degree,5.0,55851.0
Spain,Master's degree,22.0,42962.0
Netherlands,Bachelor's degree,6.0,56925.0
Germany,Master's degree,8.0,91295.0
Russian Federation,Master's degree,18.0,56022.0
United States of America,Bachelor's degree,10.0,124000.0
Brazil,Less than Bachelor's degree,4.0,10070.0
Italy,Bachelor's degree,11.0,91295.0
France,Master's degree,1.0,44037.0
Pakistan,Bachelor's degree,7.0,85925.0
Germany,Master's degree,17.0,139628.0
Canada,Less than Bachelor's degree,5.0,181732.0
Other,Bachelor's degree,20.0,12000.0
Japan,Master's degree,7.0,50915.0
France,Bachelor's degree,6.0,69814.0
United Kingdom of Great Britain and Northern Ireland,Less than Bachelor's degree,18.0,49681.0
Other,Master's degree,13.0,32222.0
United States of America,Bachelor's degree,13.0,163000.0
Sweden,Bachelor's degree,9.0,70584.0
Poland,Upper than Master's degree,12.0,74239.0
France,Upper than Master's degree,5.0,66592.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,20.0,57325.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,23.0,56051.0
Italy,Bachelor's degree,10.0,27926.0
United States of America,Bachelor's degree,7.0,105000.0
Czech Republic,Less than Bachelor's degree,18.0,43435.0
Ukraine,Master's degree,6.0,48000.0
United States of America,Bachelor's degree,12.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,13.0,127388.0
Spain,Upper than Master's degree,31.0,53703.0
Netherlands,Master's degree,12.0,91295.0
Canada,Master's degree,15.0,122124.0
Spain,Bachelor's degree,14.0,80555.0
Norway,Master's degree,10.0,149746.0
Germany,Master's degree,9.0,137136.0
Austria,Less than Bachelor's degree,14.0,80555.0
United States of America,Bachelor's degree,17.0,175000.0
United States of America,Less than Bachelor's degree,1.0,39520.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,14.0,68535.0
United States of America,Bachelor's degree,2.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Master's degree,11.0,114649.0
United States of America,Bachelor's degree,12.0,80000.0
Poland,Master's degree,20.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,0.0,33121.0
Portugal,Master's degree,11.0,128887.0
Finland,Less than Bachelor's degree,27.0,84851.0
Canada,Master's degree,20.0,87231.0
Canada,Bachelor's degree,12.0,93047.0
Israel,Less than Bachelor's degree,4.0,64762.0
United States of America,Master's degree,13.0,163000.0
Germany,Master's degree,7.0,78621.0
Netherlands,Master's degree,4.0,64444.0
Other,Less than Bachelor's degree,8.0,85925.0
United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,10.0,84076.0
Germany,Master's degree,15.0,83777.0
Ukraine,Master's degree,17.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,2.0,35032.0
United States of America,Bachelor's degree,3.0,150000.0
Canada,Master's degree,12.0,123578.0
Netherlands,Master's degree,18.0,161109.0
Other,Bachelor's degree,5.0,15600.0
Finland,Bachelor's degree,8.0,46185.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,23.0,63694.0
United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,3.0,73885.0
United States of America,Upper than Master's degree,25.0,145000.0
United States of America,Bachelor's degree,2.0,92000.0
United States of America,Less than Bachelor's degree,28.0,118106.0
Italy,Less than Bachelor's degree,18.0,32222.0
United States of America,Bachelor's degree,4.0,110000.0
Other,Upper than Master's degree,10.0,72600.0
Other,Bachelor's degree,9.0,161109.0
United States of America,Master's degree,6.0,145000.0
India,Bachelor's degree,4.0,41872.0
Netherlands,Less than Bachelor's degree,10.0,36518.0
South Africa,Master's degree,8.0,75332.0
Pakistan,Bachelor's degree,5.0,12921.0
Ukraine,Bachelor's degree,8.0,24000.0
United States of America,Bachelor's degree,10.0,127000.0
United States of America,Bachelor's degree,2.0,98000.0
United States of America,Upper than Master's degree,0.0,90000.0
France,Master's degree,24.0,53703.0
United States of America,Master's degree,8.0,175000.0
United States of America,Bachelor's degree,6.0,159000.0
