CompTotal,YearsOfExperience,MainBranch,Country,EducationLevel,RemoteWork,Salary
28000.0,6.0,Developer,Austria,Upper than Master's degree,Hybrid,30074.0
85000.0,6.0,Profession,Turkey,Master's degree,Remote,91295.0
50000.0,17.0,Profession,France,Master's degree,Remote,53703.0
110000.0,7.0,Profession,United States of America,Less than Bachelor's degree,Remote,110000.0
126420.0,18.0,Profession,United Kingdom of Great Britain and Northern Ireland,Upper than Master's degree,Hybrid,161044.0
95000.0,25.0,Profession,United Kingdom of Great Britain and Northern Ireland,Master's degree,Remote,121018.0
195000.0,30.0,Profession,United States of America,Less than Bachelor's degree,Remote,195000.0
35000.0,20.0,Profession,Bulgaria,Less than Bachelor's degree,Remote,44586.0
145000.0,27.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,184712.0
74000.0,16.0,Profession,Greece,Master's degree,Remote,79481.0
170000.0,17.0,Profession,Brazil,Master's degree,Remote,170000.0
27000.0,1.0,Profession,Germany,Master's degree,In-person,29000.0
62000.0,4.0,Profession,Italy,Less than Bachelor's degree,Remote,66592.0
80000.0,30.0,Profession,Germany,Master's degree,Remote,85925.0
98000.0,15.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,124840.0
50000.0,4.0,Profession,Ukraine,Bachelor's degree,Remote,50000.0
85000.0,23.0,Profession,United States of America,Bachelor's degree,In-person,85000.0
160000.0,18.0,Profession,United States of America,Less than Bachelor's degree,Remote,160000.0
110000.0,23.0,Developer,United States of America,Bachelor's degree,Remote,110000.0
190000.0,18.0,Developer,United States of America,Master's degree,In-person,190000.0
127000.0,17.0,Developer,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,161783.0
115000.0,10.0,Profession,United Kingdom of Great Britain and Northern Ireland,Bachelor's degree,Remote,146496.0
65000.0,10.0,Profession,Germany,Master's degree,Hybrid,69814.0
115000.0,10.0,Profession,United States of America,Less than Bachelor's degree,In-person,115000.0
94870.0,7.0,Profession,France,Bachelor's degree,Hybrid,101896.0
51000.0,8.0,Profession,France,Master's degree,In-person,54777.0
26000.0,15.0,Profession,Germany,Master's degree,In-person,27926.0
100000.0,27.0,Developer,Italy,Less than Bachelor's degree,Hybrid,107406.0
200000.0,12.0,Profession,Brazil,Less than Bachelor's degree,Remote,37297.0
80000.0,11.0,Profession,Germany,Master's degree,Hybrid,85925.0
140000.0,26.0,Profession,United States of America,Bachelor's degree,Remote,140000.0
93000.0,4.0,Profession,United States of America,Less than Bachelor's degree,Remote,93000.0
135000.0,10.0,Profession,Germany,Bachelor's degree,Hybrid,144998.0
55000.0,16.0,Profession,France,Less than Bachelor's degree,Remote,59073.0
165000.0,17.0,Profession,Canada,Bachelor's degree,Hybrid,119943.0
100000.0,9.0,Profession,United States of America,Upper than Master's degree,Hybrid,100000.0
102000.0,22.0,Profession,United States of America,Bachelor's degree,Remote,102000.0
40000.0,20.0,Profession,Germany,Less than Bachelor's degree,Remote,42962.0
170000.0,11.0,Profession,United States of America,Bachelor's degree,Remote,170000.0
40000.0,5.0,Profession,Austria,Less than Bachelor's degree,Remote,42962.0
136000.0,1.0,Developer,United States of America,Bachelor's degree,Remote,136000.0
45000.0,28.0,Profession,Italy,Master's degree,Hybrid,48333.0
50000.0,25.0,Developer,France,Less than Bachelor's degree,Hybrid,53703.0
300000.0,13.0,Profession,Other,Upper than Master's degree,Hybrid,79218.0
175000.0,20.0,Profession,United States of America,Bachelor's degree,In-person,175000.0
80000.0,16.0,Profession,Germany,Master's degree,Hybrid,85925.0
31200.0,10.0,Profession,Other,Bachelor's degree,Remote,31200.0
52000.0,11.0,Profession,Germany,Less than Bachelor's degree,Remote,55851.0
